School,Region,Conference Power,EOS Conf,Conf Tournament,SOS,Losses,Underclassmen,FT% Rank,FT%,RPG Rank,RPG,APG Rank,APG,PPG Rank,PPG,Opp PPG Rank,Opp PPG,TOPG Rank,TOPG,BPI,,Adjusted Values,,,,,,,,,,,Composite
Alabama,East,2,9,3,24,15,3,308,66.9,111,36.2,243,12.8,222,72.4,106,69.7,292,14.2,54,,0.866425993,7.5,3,4.463768116,2.470344735,5.608123702,5.311004785,2.359067946,6.385305051,2.225274725,,54.1893
Arizona,South,7,1,1,60,7,2,31,76.4,95,36.6,61,15.5,38,81.1,160,71.8,136,12.6,20,,2.166064982,3.5,2,0.449275362,2.114259008,1.4078006,0.909090909,3.560857276,2.973977695,0.824175824,,28.9055
Arizona St,NIT,7,9,9,68,11,2,69,74.3,161,35.3,138,14.1,18,83.5,237,74.6,24,11,44,,2.454873646,5.5,2,1,3.583112634,3.184860374,0.43062201,5.274519841,0.524819593,1.813186813,,50.766
Arkansas,East,2,6,3,26,11,2,307,67,183,34.8,89,15,29,82,265,75.7,28,11.1,37,,0.938628159,5.5,2,4.449275362,4.07273051,2.054004154,0.693779904,5.897669864,0.612289526,1.524725275,,38.7431
Auburn,Midwest,2,1,5,43,7,3,6,78.9,34,38.2,108,14.7,13,84,193,73.1,117,12.3,19,,1.55234657,3.5,3,0.086956522,0.756682171,2.492499423,0.311004785,4.29528409,2.558495517,0.782967033,,27.3362
Bucknell,Midwest,9,1,1,120,9,1,144,72,80,36.9,121,14.4,39,81.1,203,73.4,159,12.8,83,,4.332129964,4.5,1,2.086956522,1.780428638,2.792522502,0.933014354,4.517837669,3.476929805,3.42032967,,39.8401
Buffalo,South,9,1,1,117,8,1,258,69.4,18,38.8,14,17.1,6,85.2,284,76.7,171,12.9,81,,4.223826715,4,1,3.739130435,0.400596444,0.323101777,0.14354067,6.320521666,3.739339602,3.337912088,,38.228
Butler,East,4,6,3,16,13,2,16,77.4,218,34.1,140,14.1,53,79.6,174,72.3,39,11.3,25,,0.577617329,6.5,2,0.231884058,4.851668039,3.231017771,1.267942584,3.872432288,0.852831839,1.03021978,,37.4156
Cal St Fullerton,East,9,4,1,194,11,2,111,73,227,33.9,245,12.8,177,73.9,142,71.1,306,14.4,182,,7.003610108,5.5,2,1.608695652,5.051966261,5.654281099,4.234449761,3.160260833,6.691449814,7.5,,62.4047
Charleston,Midwest,9,1,1,161,7,1,47,75.3,291,32.8,320,11.4,158,74.6,75,68.4,5,9.8,117,,5.812274368,3.5,1,0.68115942,6.476309171,7.385183476,3.779904306,1.669151848,0.109337415,4.821428571,,46.2347
Cincinnati,South,7,1,1,48,4,1,256,69.4,15,39.1,34,16.1,125,75.6,2,57.3,65,11.7,5,,1.732851986,2,1,3.710144928,0.33383037,0.784675744,2.990430622,0.044510716,1.421386398,0.206043956,,23.2239
Clemson,Midwest,1,4,3,25,9,0,56,74.8,152,35.5,200,13.3,195,73.2,24,65.3,108,12.2,18,,0.902527076,4.5,0,0.811594203,3.382814413,4.615739672,4.66507177,0.534128592,2.36168817,0.741758242,,30.5153
Creighton,South,4,4,5,27,11,1,53,75,128,35.9,5,18.1,8,84.8,233,74.3,29,11.1,23,,0.974729242,5.5,1,0.768115942,2.848685821,0.115393492,0.19138756,5.185498409,0.634157009,0.947802198,,31.1658
Davidson,South,7,3,1,83,11,3,4,79.4,285,32.8,18,16.9,89,76.8,68,68.1,6,9.8,33,,2.996389892,5.5,3,0.057971014,6.342777024,0.415416571,2.129186603,1.513364342,0.131204898,1.35989011,,34.4462
Duke,Midwest,1,2,3,2,7,4,212,70.5,2,41.8,8,17.5,7,85.1,100,69.5,131,12.5,3,,0.072202166,3.5,4,3.072463768,0.044510716,0.184629587,0.167464115,2.225535798,2.86464028,0.123626374,,22.2551
Florida,East,2,3,5,13,12,1,143,72,42,38,230,13,105,76.2,95,69.1,7,9.8,24,,0.469314079,6,1,2.072463768,0.934725035,5.308100623,2.511961722,2.114259008,0.153072381,0.989010989,,31.5529
Florida State,West,1,8,9,38,11,1,269,68.8,168,35.1,73,15.3,30,82,231,74.2,176,13,39,,1.371841155,5.5,1,3.898550725,3.73890014,1.68474498,0.717703349,5.140987693,3.848677017,1.607142857,,46.5085
Georgia State,South,9,2,1,174,10,1,311,66.8,250,33.6,202,13.3,127,75.5,63,68,36,11.3,95,,6.281588448,5,1,4.507246377,5.563839494,4.661897069,3.038277512,1.402087553,0.78722939,3.914835165,,48.157
Gonzaga,West,9,1,1,70,4,2,148,71.9,10,39.9,50,15.8,9,84.7,59,67.8,42,11.4,9,,2.527075812,2,2,2.144927536,0.22255358,1.153934918,0.215311005,1.313066121,0.918434288,0.370879121,,23.8662
Houston,West,7,3,2,64,7,0,169,71.3,20,38.8,72,15.4,73,78,24,65.2,126,12.5,17,,2.310469314,3.5,0,2.449275362,0.44510716,1.661666282,1.746411483,0.534128592,2.755302865,0.700549451,,28.1029
Iona,Midwest,9,4,1,140,13,1,97,73.3,232,33.8,37,16.1,51,79.7,276,76.3,60,11.7,114,,5.054151625,6.5,1,1.405797101,5.163243051,0.853911839,1.220095694,6.142478802,1.312048983,4.697802198,,47.3495
Kansas,Midwest,3,1,1,3,7,3,237,69.9,165,35.2,15,17,36,81.5,143,71.1,57,11.6,8,,0.108303249,3.5,3,3.434782609,3.672134066,0.346180475,0.861244019,3.182516191,1.246446534,0.32967033,,24.6813
